timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp,SMA_7,SMA_30,Volatility
2023-01-02 00:00:00+00:00,2023-01-02T23:59:59.999Z,2023-01-02T08:19:00.000Z,2023-01-02T01:19:00.000Z,2781,16625.5103941178,16759.3440229184,16572.2288497449,16688.4713573932,12097775226.69,321262452550.73,2023-01-02T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-03 00:00:00+00:00,2023-01-03T23:59:59.999Z,2023-01-03T06:32:00.000Z,2023-01-03T17:48:00.000Z,2781,16688.8472638592,16760.4474659846,16622.3703282563,16679.8570798137,13903079206.51,321111951654.75,2023-01-03T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-04 00:00:00+00:00,2023-01-04T23:59:59.999Z,2023-01-04T18:55:00.000Z,2023-01-04T00:50:00.000Z,2781,16680.2049714198,16964.5851854634,16667.7637251347,16863.2382582833,18421743322.29,324658229824.73,2023-01-04T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-05 00:00:00+00:00,2023-01-05T23:59:59.999Z,2023-01-05T00:21:00.000Z,2023-01-05T14:04:00.000Z,2781,16863.4720568268,16884.0221164772,16790.2830406922,16836.7366452236,13692758566.46,324163886549.58,2023-01-05T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-06 00:00:00+00:00,2023-01-06T23:59:59.999Z,2023-01-06T20:19:00.000Z,2023-01-06T13:14:00.000Z,2781,16836.4734391553,16991.9941211705,16716.4222705217,16951.9695166293,14413662912.72,326401273258.71,2023-01-06T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-07 00:00:00+00:00,2023-01-07T23:59:59.999Z,2023-01-07T01:04:00.000Z,2023-01-07T12:13:00.000Z,2781,16952.1169810139,16975.016620564,16914.1920801119,16955.0774351588,7714767174.32,326478273136.7,2023-01-07T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-08 00:00:00+00:00,2023-01-08T23:59:59.999Z,2023-01-08T23:59:00.000Z,2023-01-08T00:43:00.000Z,2781,16954.1457258497,17091.1444513033,16924.0500739253,17091.1444513033,9768827914.24,329114546384.43,2023-01-08T23:59:59.999Z,16866.642106257885,20371.872143502787,148.90839573647273
2023-01-09 00:00:00+00:00,2023-01-09T23:59:59.999Z,2023-01-09T18:34:00.000Z,2023-01-09T00:00:00.000Z,2781,17093.9924981225,17389.9575514263,17093.9924981225,17196.5540596395,18624736865.86,331160060320.4,2023-01-09T23:59:59.999Z,16939.22534943593,20371.872143502787,169.93187499025888
2023-01-10 00:00:00+00:00,2023-01-10T23:59:59.999Z,2023-01-10T21:44:00.000Z,2023-01-10T02:43:00.000Z,2781,17192.9500944457,17484.7208924046,17162.991166987,17446.292509299,15808338948.79,335987993694.35,2023-01-10T23:59:59.999Z,17048.716125076684,20371.872143502787,215.7114772476199
2023-01-11 00:00:00+00:00,2023-01-11T23:59:59.999Z,2023-01-11T23:38:06.000Z,2023-01-11T15:58:00.000Z,2781,17446.3602720665,17987.6335493591,17337.9949977618,17943.8976294683,18307186523.32,346303640718.24,2023-01-11T23:59:59.999Z,17203.096035245973,20371.872143502787,382.8194610573811
2023-01-12 00:00:00+00:00,2023-01-12T23:59:59.999Z,2023-01-12T21:01:00.000Z,2023-01-12T00:03:06.000Z,2781,17944.0687339418,19030.0876366382,17919.2317058357,18869.5880552656,34971338710.34,363433455081.14,2023-01-12T23:59:59.999Z,17493.503379537688,20371.872143502787,699.038137894632
2023-01-13 00:00:00+00:00,2023-01-13T23:59:59.999Z,2023-01-13T22:44:00.000Z,2023-01-13T00:46:00.000Z,2781,18868.9059378421,19964.3227279643,18753.1642622097,19909.5746247506,29225029693.63,383483154873.96,2023-01-13T23:59:59.999Z,17916.018394983585,20371.872143502787,1097.4542267383051
2023-01-14 00:00:00+00:00,2023-01-14T23:59:59.999Z,2023-01-14T14:37:00.000Z,2023-01-14T00:04:00.000Z,2781,19910.5366570655,21075.1418299576,19907.8284635609,20976.2997963921,38967784639.05,404052157141.45,2023-01-14T23:59:59.999Z,18490.47873230263,20371.872143502787,1492.1079413692764
2023-01-15 00:00:00+00:00,2023-01-15T23:59:59.999Z,2023-01-15T17:29:00.000Z,2023-01-15T09:13:00.000Z,2781,20977.484195217,20993.7486958535,20606.9872383992,20880.7992021821,19298407543.31,402234665331.34,2023-01-15T23:59:59.999Z,19031.85798242817,20371.872143502787,1584.412179309359
2023-01-16 00:00:00+00:00,2023-01-16T23:59:59.999Z,2023-01-16T20:36:00.000Z,2023-01-16T15:16:00.000Z,2781,20882.2238766183,21360.8742794775,20715.7462141198,21169.6327806964,26792494049.72,407818156777.17,2023-01-16T23:59:59.999Z,19599.440656864874,20371.872143502787,1528.0085992627376
2023-01-17 00:00:00+00:00,2023-01-17T23:59:59.999Z,2023-01-17T14:26:00.000Z,2023-01-17T01:23:00.000Z,2781,21175.8332602034,21438.6593578573,20978.5336242013,21161.5192199162,24999983362.13,407681958151.49,2023-01-17T23:59:59.999Z,20130.18732981019,20371.872143502787,1280.693819276993
2023-01-18 00:00:00+00:00,2023-01-18T23:59:59.999Z,2023-01-18T14:23:00.000Z,2023-01-18T16:47:00.000Z,2781,21161.0508997004,21564.5022129631,20541.544548774,20688.7807298648,30005625417.91,398593008037.23,2023-01-18T23:59:59.999Z,20522.313487009687,20371.872143502787,846.2548299270316
2023-01-19 00:00:00+00:00,2023-01-19T23:59:59.999Z,2023-01-19T20:28:00.000Z,2023-01-19T00:01:00.000Z,2781,20686.7459060612,21163.0122882271,20685.3811808606,21086.7933048443,21152848260.91,406279900295.03,2023-01-19T23:59:59.999Z,20839.057094092357,20371.872143502787,443.7968654432844
2023-01-20 00:00:00+00:00,2023-01-20T23:59:59.999Z,2023-01-20T23:23:00.000Z,2023-01-20T08:34:00.000Z,2781,21085.3723377742,22692.3578308247,20919.1259836821,22676.5517588881,28799154319.0,436928964721.29,2023-01-20T23:59:59.999Z,21234.339541826288,20371.872143502787,658.3369748334567
2023-01-21 00:00:00+00:00,2023-01-21T23:59:59.999Z,2023-01-21T19:56:00.000Z,2023-01-21T00:19:00.000Z,2781,22677.4273824208,23282.3477215567,22511.8331340198,22777.6258091326,32442278429.47,438896650641.24,2023-01-21T23:59:59.999Z,21491.671829360646,20371.872143502787,861.3994508720556
2023-01-22 00:00:00+00:00,2023-01-22T23:59:59.999Z,2023-01-22T15:19:00.000Z,2023-01-22T21:22:00.000Z,2781,22777.9866614216,23056.7296500712,22387.9004628596,22720.4156286391,24746386230.08,437814457018.41,2023-01-22T23:59:59.999Z,21754.47417599736,20371.872143502787,922.4283646640696
2023-01-23 00:00:00+00:00,2023-01-23T23:59:59.999Z,2023-01-23T18:41:00.000Z,2023-01-23T15:01:00.000Z,2781,22721.0886719506,23126.4863454372,22654.3044696935,22934.4314643586,26518700511.88,441960667796.84,2023-01-23T23:59:59.999Z,22006.588273663387,20371.872143502787,975.5830431615877
2023-01-24 00:00:00+00:00,2023-01-24T23:59:59.999Z,2023-01-24T06:09:00.000Z,2023-01-24T23:23:00.000Z,2781,22929.6277356711,23134.0120466001,22549.744513105,22636.4693111916,26405069714.63,436237993963.62,2023-01-24T23:59:59.999Z,22217.295429559872,20371.872143502787,920.3622042110296
2023-01-25 00:00:00+00:00,2023-01-25T23:59:59.999Z,2023-01-25T22:08:00.000Z,2023-01-25T01:31:00.000Z,2781,22639.2671675238,23722.0988087405,22406.0755024251,23117.8596819048,30685366708.98,445539806080.32,2023-01-25T23:59:59.999Z,22564.30670842273,20371.872143502787,672.5747187057291
2023-01-26 00:00:00+00:00,2023-01-26T23:59:59.999Z,2023-01-26T01:06:00.000Z,2023-01-26T16:13:00.000Z,2781,23108.9544867974,23237.0771689385,22911.3733512336,23032.7775987084,26357839322.09,443923229458.15,2023-01-26T23:59:59.999Z,22842.304464689027,20371.872143502787,186.89585483186934
2023-01-27 00:00:00+00:00,2023-01-27T23:59:59.999Z,2023-01-27T20:10:00.000Z,2023-01-27T02:02:00.000Z,2781,23030.7172856477,23417.7209724548,22654.5934084354,23078.7278799123,25383335641.41,444830940521.37,2023-01-27T23:59:59.999Z,22899.758196263916,20371.872143502787,189.25111897615758
2023-01-28 00:00:00+00:00,2023-01-28T23:59:59.999Z,2023-01-28T00:46:00.000Z,2023-01-28T13:22:00.000Z,2781,23079.9643325667,23165.8958842871,22908.846464031,23031.0897756201,14712928379.05,443936922524.46,2023-01-28T23:59:59.999Z,22935.967334333556,20371.872143502787,186.2121855097654
2023-01-29 00:00:00+00:00,2023-01-29T23:59:59.999Z,2023-01-29T19:49:00.000Z,2023-01-29T00:20:00.000Z,2781,23031.4492355484,23919.8897614092,22985.0701306067,23774.5659233116,27423687259.16,458291157032.27,2023-01-29T23:59:59.999Z,23086.560233572487,20371.872143502787,343.0469780010245
2023-01-30 00:00:00+00:00,2023-01-30T23:59:59.999Z,2023-01-30T00:14:00.000Z,2023-01-30T22:43:00.000Z,2781,23774.6489666425,23789.3471776992,22657.5821676256,22840.13890738,27205595568.34,440298767854.8,2023-01-30T23:59:59.999Z,23073.089868289826,20371.872143502787,351.756906373281
2023-01-31 00:00:00+00:00,2023-01-31T23:59:59.999Z,2023-01-31T22:55:00.000Z,2023-01-31T00:39:00.000Z,2781,22840.7960906001,23225.0214038861,22765.5684994408,23139.2839099123,22837828665.18,446082285297.19,2023-01-31T23:59:59.999Z,23144.92052524993,20371.872143502787,294.39886899639004
2023-02-01 00:00:00+00:00,2023-02-01T23:59:59.999Z,2023-02-01T22:25:00.000Z,2023-02-01T19:35:00.000Z,2781,23137.8351361505,23764.5392941707,22877.7506525544,23723.7696534847,26683255504.12,457370104397.91,2023-02-01T23:59:59.999Z,23231.479092618483,20606.382086705835,365.5843471574988
